"Number of processes","Squares per second","Time per square (ns)"
2,0916480,1091
3,1824109,548
4,2737348,365
5,3387535,295
6,4464858,223
7,5321498,187
8,6331437,157
9,7266036,137
10,7952783,125
11,8609736,116
12,9602384,104
13,10270866,97
14,11220349,89
15,11979876,83
16,12953830,77
17,13562122,73
18,13537160,73
19,15123681,66
20,15414573,64
21,17097556,58
22,16438793,60
23,18754448,53
24,19354772,51
25,19720150,50
26,20690547,48
27,22651842,44
28,21936431,45
29,21580983,46
30,24517270,40
31,25417904,39
32,24733309,40
33,25224374,39
34,24751037,40
35,24881865,40
36,28208894,35
37,30902073,32
38,29539962,33
39,30340156,32
40,32367965,30
41,32316136,30
42,32839332,30
43,32555031,30
44,33928823,29
45,35562928,28
46,37476954,26
47,37209002,26
48,38148941,26
49,39368343,25
50,38507026,25
51,39497543,25
52,42507408,23
53,40751229,24
54,45049232,22
55,46557415,21
56,45222680,22
57,46639820,21
58,47905976,20
59,47529924,21
60,48761889,20
61,49073812,20
62,48714314,20
63,47815564,20
64,50566027,19
65,51352564,19
66,52545449,19
67,53674109,18
68,54921208,18
69,56340984,17
70,53519338,18
71,56275277,17
72,59186654,16
73,58787614,17
74,60845335,16
75,59918242,16
76,61957385,16
77,61683576,16
78,64154621,15
79,57446035,17
80,63869961,15
81,62456509,16
82,59741617,16
83,58611811,17
84,62136871,16
85,63027748,15
86,63640278,15
87,64114409,15
88,60221812,16
89,68425015,14
90,67185485,14
91,67338723,14
92,66330254,15
93,69253773,14
94,70211893,14
95,71027699,14
96,71681216,13
97,74592184,13
98,73164737,13
99,73877089,13
100,74196597,13
101,72624625,13
102,69414243,14
103,76980311,12
104,77526041,12
105,80302968,12
106,70960201,14
107,79878754,12
108,80553416,12
109,81661202,12
110,82157449,12
111,82883724,12
112,83661833,11
113,83757987,11
114,83283158,12
115,84783389,11
116,84836408,11
117,88496277,11
118,88104986,11
119,86200040,11
120,91226480,10
121,78742823,12
122,75511582,13
123,73965795,13
124,74418971,13
125,74972153,13
126,75392536,13
127,75757918,13
128,76092062,13
129,76591947,13
130,77243878,12
131,77645259,12
132,78034865,12
133,78333741,12
134,78799411,12
135,79443015,12
136,80048838,12
137,80554248,12
138,80895751,12
139,81446327,12
140,81919827,12
141,82432825,12
142,82907533,12
143,83253581,12
144,83997437,11
145,84376024,11
146,84993279,11
147,85386674,11
148,86004939,11
149,86719074,11
150,87115780,11
151,87704853,11
152,88056898,11
153,88523896,11
154,89107437,11
155,89738150,11
156,89999931,11
157,90672372,11
158,91143282,10
159,91821221,10
160,91978509,10
161,92671834,10
162,93297635,10
163,93805945,10
164,94459064,10
165,94296893,10
166,94976827,10
167,95474544,10
168,95912694,10
169,96446035,10
170,96731713,10
171,97284584,10
172,96191045,10
173,97326578,10
174,98035687,10
175,98317593,10
176,98674915,10
177,99463927,10
178,96368518,10
179,93504775,10
180,84378495,11
181,77993134,12
182,78994954,12
183,79496078,12
184,77406718,12
185,77912561,12
186,78649371,12
187,78723348,12
188,79173340,12
189,79965770,12
190,81402343,12
191,80041822,12
192,80353546,12
193,80298206,12
194,81314248,12
195,80255958,12
196,81547196,12
197,80604425,12
198,81737482,12
199,81850944,12
200,82288427,12
201,82198872,12
202,82720718,12
203,83279300,12
204,83369874,11
205,83004909,12
206,84308461,11
207,84687723,11
208,84187586,11
209,85204673,11
210,85822299,11
211,86433788,11
212,86684422,11
213,86038100,11
214,86377007,11
215,86809366,11
216,87412565,11
217,87677281,11
218,88152256,11
219,87661489,11
220,88188473,11
221,88243912,11
222,88645162,11
223,89012243,11
224,89943464,11
225,91092343,10
226,89260183,11
227,91209335,10
228,90812327,11
229,90562108,11
230,90258602,11
231,89740679,11
232,90171203,11
233,90328408,11
234,90291432,11
235,81406098,12
236,85265497,11
237,79182122,12
238,79287055,12
239,78167801,12
240,78401433,12
241,78158859,12
242,76425753,13
243,77130551,12
244,77813678,12
245,77749120,12
246,77694435,12
247,78081843,12
248,78502415,12
249,78133682,12
250,78991551,12
251,78712447,12
252,79322663,12
253,79421133,12
254,79526766,12
255,79614708,12
256,79543282,12
257,80227267,12
258,80781704,12
259,80650483,12
260,80758672,12
261,81016880,12
262,81309593,12
263,81121909,12
264,81555270,12
265,81689964,12
266,82021550,12
267,82275932,12
268,82962502,12
269,82637143,12
270,82642901,12
271,82863187,12
272,83551651,11
273,83577158,11
274,83721840,11
275,84053244,11
276,84126988,11
277,84964444,11
278,84564976,11
279,84788585,11
280,84945936,11
281,85806673,11
